zdanie,spójnik,typ,sent_id
"Roku 1960 stanowi okazje do przypomnienia sobie zmian, jakie zaszły przez ostatnie 10 lat.","[',']",['34'],NKJP_1M_1202000010/morph_99-p/morph_99.47-s
"Dom stoi w cichej uliczce, w którą wjechać można tylko dziecinnym wózkiem.","[',']",['22'],NKJP_1M_1202000010/morph_53-p/morph_53.56-s
"Gdyby przyjąć, że każda rodzina ma samochód, to w naszych osiedlach na same parkingi poszłaby połowa niezabudowanego terenu.","[',', ',', 'to']","['11', '39', '126']",NKJP_1M_1202000010/morph_27-p/morph_27.33-s
"Teraz dopiero dostrzegłem, że jest zmęczona.","[',']",['16'],NKJP_1M_1202000010/morph_52-p/morph_52.15-s
"Nie orientował się też, że popełnia przestępstwo dewizowe.","[',']",['15'],NKJP_1M_1202000010/morph_19-p/morph_19.36-s
"- Przyszliśmy tu wieczorem, by naprawić jedną z maszyn.","[',']",['19'],NKJP_1M_1202000010/morph_71-p/morph_71.20-s
"Deklaracja ta, zamieszczona wczoraj na stronie internetowej czeczeńskich separatystów, została ogłoszona po niedzielnym wystąpieniu rosyjskiego prezydenta Władimira Putina.","[',', ',']","['11', '46']",NKJP_1M_1305000000085/morph_1-p/morph_1.46-s
"Analiza sposobu kordynacji czterowiązalnego atomu fosforu wykazała, że atomy związane z atomem fosforu obsadzają naroża znacznie zdeformowanych czworościanów.","[',']",['65'],NKJP_1M_3203000260/morph_1-p/morph_1.20-s
"– Sam przyśle po ciebie, jak przyjdzie czas – powiedział.","[',']",['23'],NKJP_1M_3104000000003/morph_8-p/morph_8.12-s
"Przyjrzała mu się uważnie, jakby widziała go po raz pierwszy.","[',']",['18'],NKJP_1M_2004000000312/morph_8-p/morph_8.21-s
"Wydawało się, że jej życie dobiegnie końca bez większych niespodzianek.","[',']",['10'],NKJP_1M_2004000000312/morph_4-p/morph_4.12-s
"Nie mogła udawać, że list z Afryki do niej nie dotarł.","[',']",['15'],NKJP_1M_2004000000312/morph_4-p/morph_4.40-s
"Minęło już kilka dni, odkąd go jej doręczono.","[',']",['22'],NKJP_1M_2004000000312/morph_4-p/morph_4.50-s
"W dorocznym liście do kapłanów papież napisał, że wszystkie takie wypadki głęboko go ranią.","[',']",['29'],NKJP_1M_1305000000512/morph_1-p/morph_1.47-s
"Ręczę za to, że tak zrobi - powiedział lekarz.","[',']",['17'],NKJP_1M_3102000000216/morph_2-p/morph_2.11-s
"Niedawno dom ten pokazano nawet w telewizji TVN w programie ""Nie do Wiary"", w którym rozmaici uczeni próbują rozwikłać tajemnicę zjawisk paranormalnych.","[',']",['55'],NKJP_1M_1302900018/morph_17-p/morph_17.52-s
"Nowa ustawa zobowiąże szefów do zakupu okularów korekcyjnych dla pracowników, którzy potrzebują ich podczas wykonywania swoich zajęć.","[',']",['41'],NKJP_1M_1302900018/morph_22-p/morph_22.49-s
"- W poniedziałek poszłam do lekarza ogólnego, który skierował mnie do chirurga.","[',']",['28'],NKJP_1M_1302900018/morph_14-p/morph_14.15-s
"Wcześniej z podejrzeń oczyściła ją również Prokuratura Rejonowa w Przemyślu, ponieważ w czynnościach wykonywanych przez urzędniczkę nie dopatrzyła się przestępstwa.","[',']",['43'],NKJP_1M_1302900018/morph_21-p/morph_21.64-s
"Gdy na miejscu zjawili się policjanci z komisariatu kolejowego policji, schronisko znajdowało się w opłakanym stanie.","[',']",['139'],NKJP_1M_1302900018/morph_18-p/morph_18.72-s
"Oscylowałem na pograniczu tych dwóch światów, mając dostęp do obu.","[',']",['49'],NKJP_1M_3102000000101/morph_7-p/morph_7.13-s
"Mogę walczyć, choć z zasady nie biję kobiet.","[',']",['12'],NKJP_1M_6203010001276/morph_2-p/morph_2.13-s
"W związku z tym chciałbym zapytać, czy wszyscy zastępcy prokuratora generalnego biorą udział w posiedzeniu Rady Ministrów.","[',']",['30'],NKJP_1M_7121900005/morph_1-p/morph_1.62-s
"Wie tylko, że ona tam jest...","[',']",['11'],NKJP_1M_2002000000212/morph_9-p/morph_9.32-s
"Nurkowa zapewniała, że leki, które zlecił, są podawane.","[',', ',', ',']","['12', '23', '34']",NKJP_1M_2002000000212/morph_8-p/morph_8.39-s
"Dopiero dziś, po dwóch dniach, Adam przyjechał do kontroli.","[',', ',']","['10', '23']",NKJP_1M_2002000000212/morph_8-p/morph_8.51-s
"Postał chwilę pod domem, po czym polecił wracać do stacji pogotowia.","[',']",['19'],NKJP_1M_2002000000212/morph_6-p/morph_6.46-s
"- Odnoszę wrażenie, że znajomość z tą panią będzie przydatna w naszej pracy...","[',']",['14'],NKJP_1M_2002000160/morph_3-p/morph_3.72-s
"Byłbym bardzo rad, gdyby panna Rosé chciała być na naszym przyjęciu.","[',']",['19'],NKJP_1M_2002000160/morph_3-p/morph_3.45-s
"- Mam nadzieję, że będzie pan tam jeszcze przed naszym przyjęciem.","[',']",['15'],NKJP_1M_2002000160/morph_3-p/morph_3.30-s
"Nowak zameldował natychmiast, że otrzymał rozkaz wyjaśnienia dowódcy pułku zadania, z jakim go tu przysłano.","[',', ',']","['16', '45']",NKJP_1M_2002000160/morph_8-p/morph_8.18-s
"Policja poinformowała o 22 rannych, z których jeden jest w stanie krytycznym.","[',']",['24'],NKJP_1M_1305000001823/morph_1-p/morph_1.39-s
"Jakby tego było mało, podczas kontroli technicznej stwierdzono, że oba pojazdy są niesprawne.","[',', ',']","['24', '43']",NKJP_1M_1305000000612/morph_1-p/morph_1.43-s
"Osiem osób odniosło lekkie obrażenia w wyniku zderzenia dwóch tramwajów, do którego doszło w czwartek po południu w centrum Warszawy.","[',']",['44'],NKJP_1M_1305000001587/morph_1-p/morph_1.22-s
"Regulaminowe decyzje, po wnikliwej analizie protokołu z tego pojedynku, podejmie Wydział Dyscypliny BOZPN.","[',', ',']","['11', '49']",NKJP_1M_1305000001004/morph_1-p/morph_1.42-s
"Władze sanitarne apelują o zgłaszanie takich przypadków, gdyż niezbędna będzie deratyzacja.","[',']",['43'],NKJP_1M_1305000000736/morph_1-p/morph_1.20-s
"Wczoraj Rada Europy przestrzegła, że ostatnie napięcia w Macedonii rodzą niebezpieczeństwo wybuchu nowej wojny na Bałkanach.","[',']",['20'],NKJP_1M_1305000000101/morph_1-p/morph_1.55-s
"Z kandydowania w wyborach zrezygnował Bogusław Rybicki, który w czwartek po swojej rozprawie lustracyjnej wyjaśnił, że w związku z pogłoskami o jego rzekomej współpracy ze służbami specjalnymi wielu ludzi zniechęciło się do zbierania podpisów.","[',', ',']","['30', '64']",NKJP_1M_1305000001901/morph_1-p/morph_1.61-s
"- Zwróć jednak uwagę, czy w wodzie nie widać krwi.","[',']",['17'],NKJP_1M_2002000169/morph_3-p/morph_3.61-s
"Zdarza się, że kompresja niszczy nerki.","[',']",['10'],NKJP_1M_2002000169/morph_3-p/morph_3.69-s
"Dziwnej kompanii, ośmielę się zauważyć.","[',']",['10'],NKJP_1M_2002000169/morph_10-p/morph_10.26-s
"- Miło, że chcesz rozumieć.","[',']",['10'],NKJP_1M_2002000169/morph_10-p/morph_10.10-s
"- To nie ci, na których czekamy.","[',']",['16'],NKJP_1M_2002000169/morph_6-p/morph_6.36-s
"Dziecko bezbronne wobec przewagi, jaką posiada nad nim człowiek dorosły, może łatwo podlegać deprawacji seksualnej.","[',', ',']","['19', '78']",NKJP_1M_3301000001/morph_22-p/morph_22.38-s
"Kiedy Bóg nie jest na pierwszym miejscu, wszystko jest już nie na swoim miejscu.","[',']",['52'],NKJP_1M_3301000001/morph_10-p/morph_10.79-s
"Z pewnością młodemu człowiekowi nie pomagają zainteresowania seksualne, które koncentrują się na doznaniach fizycznych.","[',']",['33'],NKJP_1M_3301000001/morph_14-p/morph_14.52-s
"W świadomości nastolatka rośnie wówczas przekonanie, że doznanie zmysłowe jest zasadniczym celem życia seksualnego.","[',']",['32'],NKJP_1M_3301000001/morph_14-p/morph_14.68-s
"Są to jedynie najważniejsze, opisane dość pobieżnie, zranienia w dziedzinie seksualnej, które wymagają uzdrowienia.","[',', ',', ',']","['14', '28', '44']",NKJP_1M_3301000001/morph_20-p/morph_20.18-s
Wracać będzie natomiast Wałem Miedzeszyńskim.,['natomiast'],['8'],NKJP_1M_1305000000335/morph_1-p/morph_1.60-s
"No, jak pan się odnosi do tego faktu?","[',']",['5'],NKJP_1M_7123900001/morph_3-p/morph_3.50-s
"Z jednej strony umówiłem się z państwem dziennikarzami, że zakończymy o godzinie 17.","[',']",['40'],NKJP_1M_7123900001/morph_8-p/morph_8.40-s
"Czy pan mógł, po rozmowach z Kulczykiem, ocenić ich konsekwencje dla bezpieczeństwa państwa?","[',', ',']","['16', '31']",NKJP_1M_7123900001/morph_1-p/morph_1.53-s
"Chłopiec odszedł na moment od matki, z którą czekał na przystanku na autobus do Białegostoku.","[',']",['26'],NKJP_1M_1305000001971/morph_1-p/morph_1.17-s
"Nabiłem sobie głowę myślami z tej rozmowy, bo dla mnie wszystko, o czym mówili, było jakby spoza granic mojej wyobraźni.","[',', ',', ',']","['79', '97', '115']",NKJP_1M_MysliwskiTraktat/morph_5-p/morph_5.31-s
"Odpowiednio do tego, łóżka także miały kształt łukowaty.","[',']",['13'],NKJP_1M_2001000031/morph_1-p/morph_1.54-s
"Pokój, do którego zaprowadzono gości, miał zaokrąglone wszystkie ściany.","[',', ',']","['8', '37']",NKJP_1M_2001000031/morph_1-p/morph_1.44-s
"Osobiście nigdy nie żałowałem, iż zostałem historykiem.","[',']",['19'],NKJP_1M_3102000000105/morph_2-p/morph_2.11-s
"Pomieszczenia w piwnicach budynku, należące kiedyś do Urzędu Rejonowego, zagospodarowało w październiku starostwo uznając, że ma do nich prawo.","[',', ',', ',']","['93', '18', '69']",NKJP_1M_1305000001431/morph_1-p/morph_1.25-s
"Gdy urzędnicy powiatowi chcieli przenieść się do nich, zastali zamknięte drzwi.","[',']",['118'],NKJP_1M_1305000001431/morph_1-p/morph_1.38-s
"Myślałam, że odkryłam to w tym tygodniu!","[',']",['9'],NKJP_1M_2004000064/morph_5-p/morph_5.70-s
"Na koniec owego wspaniałego dnia zaprosili go, by odwiedził ich w domu.","[',']",['45'],NKJP_1M_2004000013/morph_10-p/morph_10.14-s
"Kaneyasu kiwał głową, akceptując pomysł Kiry.","[',']",['15'],NKJP_1M_2004000013/morph_4-p/morph_4.8-s
"Zawsze tak robię, gdy tu jestem.","[',']",['16'],NKJP_1M_2004000013/morph_2-p/morph_2.43-s
"Nie bardzo wiedział, co ma powiedzieć, więc posłusznie postawił walizki na matach.","[',', 'więc', ',']","['44', '46', '14']",NKJP_1M_2004000013/morph_2-p/morph_2.66-s
"W sztuce miecza faza oddechu jest bardzo ważna, bo szermierz biorący oddech jest wtedy najsłabszy.","[',']",['191'],NKJP_1M_2004000013/morph_5-p/morph_5.17-s
"Wikipedia, nasz siostrzany projekt, zawiera artykuł na temat nawozów zielonych.","[',', ',']","['7', '19']",NKJP_1M_6203010000080/morph_1-p/morph_1.13-s
"Zespół naukowców z University of Alabama poinformował o znalezieniu dowodów na to, że wirus HIV został przeniesiony na ludzi od szympansów.","[',']",['82'],NKJP_1M_1305000001578/morph_1-p/morph_1.23-s
"Jak wykazały testy genetyczne, wirus HIV jest ściśle spokrewniony z wirusem, którym zarażają się te małpy, które jednak nie chorują z tego powodu.","[',', ',', ',']","['55', '77', '24']",NKJP_1M_1305000001578/morph_1-p/morph_1.50-s
"Poprawcie mnie, jeśli się mylę.","[',']",['12'],NKJP_1M_6203010001662/morph_1-p/morph_1.65-s
"Zaznaczam, że pytanie nie jest wyłącznie retoryczne.","[',']",['8'],NKJP_1M_6203010001662/morph_1-p/morph_1.74-s
"Mimo że organizatorzy postarali się o wysokiej klasy projektory, świecące na Rynku lampy spowodowały, że widoczność ""Ósmego dnia tygodnia"" była słaba.","[',', ',']","['65', '178']",NKJP_1M_1305000000395/morph_1-p/morph_1.72-s
"Policja w Nepalu zatrzymała wczoraj 36-letniego Polaka, który na pokładzie samolotu lecącego do Tajlandii próbował przemycić 10 kilogramów haszyszu.","[',']",['32'],NKJP_1M_1305000000003/morph_1-p/morph_1.21-s
"Jak planował, pojechał do Jurka wczesnym popołudniem.","[',']",['13'],NKJP_1M_2002000175/morph_11-p/morph_11.25-s
"W ten sposób zaaprobowane zostało wstępne porozumienie, osiągnięte w ubiegłym roku przez ministrów zdrowia Piętnastki.","[',']",['30'],NKJP_1M_1305000001070/morph_1-p/morph_1.41-s
"Sześć krajów afrykańskich zaangażowanych w wojnę w Demokratycznej Republice Konga (dawny Zair) podpisało w sobotę w stolicy Zambii, Lusace, porozumienie o zawieszeniu broni, którego nie podpisali jednak rebelianci kongijscy.","[',', ',', ',']","['86', '91', '106']",NKJP_1M_1305000001625/morph_1-p/morph_1.35-s
"Inżynier Robert Brzeziński, który brał udział w konstruowaniu szybowca, powiedział nam, że to idealna maszyna szkoleniowa.","[',', ',', ',']","['61', '16', '238']",NKJP_1M_1305000000817/morph_1-p/morph_1.34-s
"Jeśli resort zaakceptuje programy, będzie je finansować.","[',']",['65'],NKJP_1M_1305000001762/morph_1-p/morph_1.27-s
"Zgodnie z nim, dyrektorzy wojewódzkich kolumn złożą do końca lutego w Ministerstwie Zdrowia programy restrukturyzacji zakładów.","[',']",['13'],NKJP_1M_1305000001762/morph_1-p/morph_1.18-s
"Dzieci zgodnym chórem twierdzą, że nawet mama nigdy nie gotowała lepiej.","[',']",['20'],NKJP_1M_1202900128/morph_7-p/morph_7.72-s
"Niektórzy pytają, po co to robię?","[',']",['12'],NKJP_1M_1202900128/morph_2-p/morph_2.74-s
"- Lokata nie jest istotna, choć oczywiście miło, gdy ma się niezły wynik.","[',', ',']","['20', '34']",NKJP_1M_1202900128/morph_2-p/morph_2.38-s
"Czy powinnam powiadomić syna tego pana, że ona ich okrada?","[',']",['35'],NKJP_1M_1202900128/morph_5-p/morph_5.50-s
"Unikali patrzenia sobie w oczy, przełykając metaliczny smak śmierci.","[',']",['22'],NKJP_1M_2004000012/morph_5-p/morph_5.18-s
"Specjaliści z Centralnej Agencji Wywiadowczej mają już świadka, który widział zamachowców na kilka minut przed eksplozją w Nairobi.","[',']",['45'],NKJP_1M_1305000001193/morph_1-p/morph_1.20-s
Tych zaś było dziś aż siedmiu na podwórku Adamusa.,['zaś'],['6'],NKJP_1M_0302000000008/morph_9-p/morph_9.75-s
"Mimo że Amerykanie uznali operację za udaną, z rejonu walk zdołało wymknąć się wielu partyzantów.","[',']",['97'],NKJP_1M_1305000000012/morph_1-p/morph_1.59-s
"Co tam dokładnie jest, będzie wiadomo po oczyszczeniu stropu.","[',']",['110'],NKJP_1M_1202000004/morph_11-p/morph_11.31-s
Tak więc zgodnie z przyjętymi zasadami przystąpiliśmy najpierw do remontów dachów.,['więc'],['6'],NKJP_1M_1202000004/morph_21-p/morph_21.21-s
"Ministerstwo obrony USA ujawniło z trzydniowym opóźnieniem, że pluskwa milenijna spowodowała awarię systemów satelitarnych, przekazujących dane wywiadowcze w Pentagonie.","[',', ',']","['82', '37']",NKJP_1M_1305000000989/morph_1-p/morph_1.22-s
"Na progu zwymiotował wszystko, co zjadł.","[',']",['19'],NKJP_1M_2002000079/morph_8-p/morph_8.30-s
"Piloci biur podróży twierdzą, że potrafią na pierwszy rzut oka rozpoznać turystę, który ma zamiar sprzedać dokument.","[',', ',']","['23', '59']",NKJP_1M_1305000001956/morph_1-p/morph_1.24-s
"Istnieje duże prawdopodobieństwo, że osoby poszkodowane będą się od nich domagać odszkodowań na drodze postępowania cywilnego.","[',']",['16'],NKJP_1M_1305000000669/morph_1-p/morph_1.26-s
"Dowództwo komendy powiatowej chce, by Mielec był pierwszym punktem na mapie Polski, który rozpoczął oficjalną wojnę z grafficiarzami.","[',', ',']","['20', '190']",NKJP_1M_1305000000669/morph_1-p/morph_1.55-s
"Burza toczyła się leniwie, zanim zapadła w zachodnią czeluść nieba.","[',']",['18'],NKJP_1M_0302000000011/morph_11-p/morph_11.12-s
"Jeżeli w konglomeracie finansowym jest kilka podmiotów dominujących, podmiotem wiodącym jest podmiot dominujący będący podmiotem regulowanym o największej sumie bilansowej w najistotniejszym sektorze finansowym konglomeratu finansowego.","[',']",['1011'],NKJP_1M_6101001709/morph_2-p/morph_2.43-s
"W przypadku braku podmiotu dominującego, podmiotem wiodącym jest podmiot regulowany o największej sumie bilansowej w najistotniejszym sektorze finansowym konglomeratu finansowego.","[',']",['25'],NKJP_1M_6101001709/morph_2-p/morph_2.65-s
"Anglicy uprzedzili Mikołajczyka, iż może być w każdej chwili zaproszony do Moskwy.","[',']",['16'],NKJP_1M_3102000000039/morph_8-p/morph_8.14-s
"Ustalono, że podstawą rozmów może być tylko memorandum z 29 sierpnia.","[',']",['8'],NKJP_1M_3102000000039/morph_8-p/morph_8.77-s
"Przewodniczący komisji wyraził przy tym pogląd, iż wspomniane kwestie terytorialne znajdują się w sferze wyłącznego zainteresowania Rosji.","[',']",['27'],NKJP_1M_3102000000039/morph_5-p/morph_5.70-s
"Gdy wróciła, usiadła obok niego na tapczanie.","[',']",['57'],NKJP_1M_2002000147/morph_1-p/morph_1.9-s
"Ponad 100 pasażerów ze statku ""Rosa Weneda"", który utknął wczoraj na mieliźnie na Zalewie Szczecińskim, ewakuowały jednostki Polskiego Ratownictwa Okrętowego.","[',', ',']","['39', '333']",NKJP_1M_1305000000606/morph_1-p/morph_1.25-s
"Miał w tej chwili pewność, że może je kształtować, jak zechce.","[',', ',']","['24', '44']",NKJP_1M_2002000095/morph_2-p/morph_2.67-s
"""Dąbrowska odnotowuje, że zarys którejś z nowel Kowalska w pośpiechu rzuciła na papier po francusku"".","[',']",['14'],NKJP_1M_0404000000100/morph_2-p/morph_2.74-s
"- Jasne, że ci pomogę, Taro.","[',', ',']","['11', '28']",NKJP_1M_2002000142/morph_7-p/morph_7.9-s
"Jak chcesz, możemy pojechać tam, na autostradę.","[',', ',']","['28', '96']",NKJP_1M_2002000142/morph_7-p/morph_7.63-s
"To wiadro było jedyną kolorową rzeczą na tym smutnym podwórku, w które zmienił się Rybny Targ.","[',']",['41'],NKJP_1M_2002000142/morph_9-p/morph_9.51-s
"Starsza kobieta, ubrana w czarny przeciwdeszczowy płaszcz z kapturem, niosła czerwone emaliowane wiadro.","[',', ',']","['11', '38']",NKJP_1M_2002000142/morph_9-p/morph_9.33-s
"- Przecież wiem, tato.","[',']",['12'],NKJP_1M_2002000142/morph_5-p/morph_5.20-s
"Jeżeli koalicja nie spieszyła się z zawarciem rozejmu, nie znaczy to, aby zamierzała przedłużać działania wojenne.","[',', ',']","['62', '116']",NKJP_1M_3102000000042/morph_3-p/morph_3.19-s
"Francja zdawała sobie sprawę z tego, że mimo wszystko znajduje się wciąż w stanie odosobnienia.","[',']",['26'],NKJP_1M_3102000000042/morph_1-p/morph_1.17-s
"W marcu 1914 r. oficerowie angielscy w miasteczku Curragh w hrabstwie Ulster zagrozili gremialnym podaniem się do dymisji, gdyby im kazano walczyć przeciwko ochotnikom ulsterskim.","[',']",['103'],NKJP_1M_3102000000042/morph_6-p/morph_6.51-s
"Pozbył się balastu, nim ten balast odebrała mu zamieć historii.","[',']",['14'],NKJP_1M_GrzegorczykObogatym/morph_1-p/morph_1.69-s
"Zarząd miasta ma też sprawdzić, czy Zakład Usług Komunalnych prowadzi prace zgodnie z projektem.","[',']",['24'],NKJP_1M_1305000000486/morph_1-p/morph_1.30-s
"Na morskiej jednostce mogą być zatrudnione tylko te osoby, które posiadają aktualne świadectwo zdrowia.","[',']",['36'],NKJP_1M_6101000685/morph_2-p/morph_2.42-s
"Mowa o uczestnikach Ogólnopolskiego Turnieju Wiedzy Pożarniczej na szczeblu gminnym, którzy musieli wykazać się rozległą wiedzą dotyczącą ochrony przeciwpożarowej.","[',']",['67'],NKJP_1M_GazetaTczewska/morph_31-p/morph_31.48-s
"Oznakę nadchodzących „Walentynek” można było zobaczyć już w poniedziałek, kiedy pasażerowie nad ranem zobaczyli autobus udekorowany serduszkami.","[',']",['55'],NKJP_1M_GazetaTczewska/morph_55-p/morph_55.78-s
"Z tych samych środków, które zasiliły konto Hufca ZHP, dofinansowanie zdobyło także Stowarzyszenie Na Rzecz Szkolnictwa Specjalnego.","[',', ',']","['20', '198']",NKJP_1M_GazetaTczewska/morph_57-p/morph_57.20-s
"Kiedy sytuacja nie zmieniła się przez ponad miesiąc, zainteresowani zaczęli zastanawiać się, czy przedsiębiorstwo D. w ogóle istnieje.","[',', ',']","['124', '151']",NKJP_1M_GazetaTczewska/morph_46-p/morph_46.83-s
"W konspiracji działała Organizacja Wojskowa Pomorza, która zwalczała niemiecki Grenschutz.","[',']",['25'],NKJP_1M_GazetaTczewska/morph_1-p/morph_1.34-s
"W obliczu trudnej sytuacji na rynku pracy, 9-miesięczna przygoda w wojsku wydaje się dla nich niemiłą perspektywą.","[',']",['48'],NKJP_1M_GazetaTczewska/morph_39-p/morph_39.54-s
"Podczas obchodu można było się przekonać, że nastąpiły gruntowne zmiany w pomieszczeniach CSiK.","[',']",['23'],NKJP_1M_GazetaTczewska/morph_38-p/morph_38.15-s
"Interesująco wypadła sala wystawiennicza na poddaszu, chociaż widać, że w budynku jest jeszcze parę rzeczy do robienia.","[',', ',']","['27', '38']",NKJP_1M_GazetaTczewska/morph_38-p/morph_38.59-s
"Jeżeli Sejm ją przyjmie, to kasyna będzie można otwierać od 1 lipca 2001.","[',', 'to']","['21', '102']",NKJP_1M_1305000001290/morph_1-p/morph_1.40-s
"On wydobędzie od pana informację, która pomoże Mühlhausowi ująć mordercę.","[',']",['23'],NKJP_1M_2004000048/morph_4-p/morph_4.58-s
"Chciałby być teraz w namiocie, oddzielony od wszystkiego.","[',']",['24'],NKJP_1M_2004000048/morph_2-p/morph_2.73-s
"Fabrykę zaplombowano, konfiskując także podejrzane materiały.","[',']",['11'],NKJP_1M_1305000001464/morph_1-p/morph_1.56-s
"Decydując się na życie mnisze, Siostra odbiera sobie możliwość bycia matką.","[',']",['25'],NKJP_1M_2004000052/morph_1-p/morph_1.48-s
Najpierw zatem był młynek do kawy.,['zatem'],['6'],NKJP_1M_0402000007/morph_2-p/morph_2.71-s
"Zawsze wiedziałem, że muszę źle skończyć!)","[',']",['13'],NKJP_1M_0402000007/morph_2-p/morph_2.64-s
"Dotychczas obowiązek donoszenia WKU o studentach, którzy przerwali naukę, spoczywał na uczelniach.","[',', ',']","['27', '181']",NKJP_1M_1305000001092/morph_1-p/morph_1.31-s
"Zarazem na wszystkich studentach zaciążyłby obowiązek przedstawiania WKU dokumentów świadczących, że nadal studiują.","[',']",['44'],NKJP_1M_1305000001092/morph_1-p/morph_1.16-s
"Zdaniem Komorowskiego, indywidualny obowiązek informowania przez studenta o swoim statusie zwiększa możliwość skutecznego poboru tych, którzy faktycznie nie studiują, ponieważ szkoły mogłyby dopełniać tych formalności z opóźnieniem.","[',', ',', ',']","['10', '98', '79']",NKJP_1M_1305000001092/morph_1-p/morph_1.63-s
"Szczególny rodzaj ewolucji, która nie może znieść suszy.","[',']",['16'],NKJP_1M_2002000018/morph_4-p/morph_4.60-s
"Tak, ta nieobecność życia na lądzie jest zastanawiająca.","[',']",['6'],NKJP_1M_2002000018/morph_4-p/morph_4.50-s
"Kiedy ich górna część zacznie żółknąć, przewracamy je na drugą stronę, aż całe zbrązowieją.","[',', ',']","['52', '28']",NKJP_1M_3302000000024/morph_9-p/morph_9.17-s
"Jeżeli ciasto troszeczkę rozlatuje się w oleju, oznacza to, że zostało prawidłowo przyrządzone.","[',', ',']","['39', '80']",NKJP_1M_3302000000024/morph_9-p/morph_9.55-s
"Stanowią one razem z rzodkiewką potrawę pełnowartościową, dając jednocześnie ciekawy efekt dekoracyjny.","[',']",['29'],NKJP_1M_3302000000024/morph_11-p/morph_11.75-s
"Dobrze jest odparować nadmiar wody z ogórków, aby potrawa nie była zbyt wodnista.","[',']",['32'],NKJP_1M_3302000000024/morph_11-p/morph_11.15-s
"W małym naczyniu na dnie układamy rzodkiewki w całości, dodając 2 łyżki wody.","[',']",['35'],NKJP_1M_3302000000024/morph_11-p/morph_11.43-s
